sec,nanosec,latitude,longitude,datetime
1749195160,500368338,43.5140453,16.2502978,2025-06-06T07:32:40.500368+00:00
1749195160,750368196,43.5140452,16.2502979,2025-06-06T07:32:40.750368+00:00
1749195161,368053,43.5140452,16.2502980,2025-06-06T07:32:41.000368+00:00
1749195161,250367911,43.5140452,16.2502981,2025-06-06T07:32:41.250368+00:00
1749195161,500367768,43.5140453,16.2502982,2025-06-06T07:32:41.500368+00:00
1749195161,750367626,43.5140453,16.2502983,2025-06-06T07:32:41.750368+00:00
1749195162,367483,43.5140453,16.2502985,2025-06-06T07:32:42.000367+00:00
1749195162,250367341,43.5140453,16.2502988,2025-06-06T07:32:42.250367+00:00
1749195162,500367198,43.5140452,16.2502988,2025-06-06T07:32:42.500367+00:00
1749195162,750367056,43.5140452,16.2502989,2025-06-06T07:32:42.750367+00:00
1749195163,366913,43.5140452,16.2502991,2025-06-06T07:32:43.000367+00:00
1749195163,250366771,43.5140451,16.2502992,2025-06-06T07:32:43.250367+00:00
1749195163,500366628,43.5140449,16.2502993,2025-06-06T07:32:43.500367+00:00
1749195163,750366486,43.5140449,16.2502997,2025-06-06T07:32:43.750366+00:00
1749195164,366343,43.5140445,16.2502998,2025-06-06T07:32:44.000366+00:00
1749195164,250366201,43.5140443,16.2502999,2025-06-06T07:32:44.250366+00:00
1749195164,500366058,43.5140440,16.2503001,2025-06-06T07:32:44.500366+00:00
1749195164,750365915,43.5140438,16.2503000,2025-06-06T07:32:44.750366+00:00
1749195165,365772,43.5140436,16.2503000,2025-06-06T07:32:45.000366+00:00
1749195165,250365630,43.5140435,16.2503000,2025-06-06T07:32:45.250366+00:00
1749195165,500365487,43.5140434,16.2503001,2025-06-06T07:32:45.500365+00:00
1749195165,750365345,43.5140433,16.2503002,2025-06-06T07:32:45.750365+00:00
1749195166,365202,43.5140431,16.2503002,2025-06-06T07:32:46.000365+00:00
1749195166,250365059,43.5140429,16.2503001,2025-06-06T07:32:46.250365+00:00
1749195166,500364917,43.5140427,16.2503000,2025-06-06T07:32:46.500365+00:00
1749195166,750364774,43.5140426,16.2502998,2025-06-06T07:32:46.750365+00:00
1749195167,364632,43.5140424,16.2502997,2025-06-06T07:32:47.000365+00:00
1749195167,250364489,43.5140423,16.2502998,2025-06-06T07:32:47.250365+00:00
1749195167,500364347,43.5140423,16.2502998,2025-06-06T07:32:47.500364+00:00
1749195167,750364204,43.5140422,16.2502997,2025-06-06T07:32:47.750364+00:00
1749195168,364062,43.5140421,16.2502997,2025-06-06T07:32:48.000364+00:00
1749195168,250363919,43.5140420,16.2502997,2025-06-06T07:32:48.250364+00:00
1749195168,500363777,43.5140418,16.2502997,2025-06-06T07:32:48.500364+00:00
1749195168,750363634,43.5140417,16.2502997,2025-06-06T07:32:48.750364+00:00
1749195169,363491,43.5140415,16.2502996,2025-06-06T07:32:49.000364+00:00
1749195169,250363349,43.5140413,16.2502996,2025-06-06T07:32:49.250363+00:00
1749195169,500363206,43.5140412,16.2502995,2025-06-06T07:32:49.500363+00:00
1749195169,750363064,43.5140411,16.2502994,2025-06-06T07:32:49.750363+00:00
1749195170,362921,43.5140410,16.2502993,2025-06-06T07:32:50.000363+00:00
1749195170,250362779,43.5140410,16.2502993,2025-06-06T07:32:50.250363+00:00
1749195170,500362636,43.5140409,16.2502992,2025-06-06T07:32:50.500363+00:00
1749195170,750362494,43.5140408,16.2502991,2025-06-06T07:32:50.750362+00:00
1749195171,362351,43.5140408,16.2502992,2025-06-06T07:32:51.000362+00:00
1749195171,250362209,43.5140407,16.2502991,2025-06-06T07:32:51.250362+00:00
1749195171,500362066,43.5140406,16.2502991,2025-06-06T07:32:51.500362+00:00
1749195171,750361924,43.5140405,16.2502990,2025-06-06T07:32:51.750362+00:00
1749195172,361781,43.5140405,16.2502988,2025-06-06T07:32:52.000362+00:00
1749195172,250361639,43.5140404,16.2502987,2025-06-06T07:32:52.250362+00:00
1749195172,500361496,43.5140404,16.2502986,2025-06-06T07:32:52.500361+00:00
1749195172,750361354,43.5140405,16.2502985,2025-06-06T07:32:52.750361+00:00
1749195173,361211,43.5140404,16.2502983,2025-06-06T07:32:53.000361+00:00
1749195173,250361069,43.5140405,16.2502983,2025-06-06T07:32:53.250361+00:00
1749195173,500360926,43.5140404,16.2502981,2025-06-06T07:32:53.500361+00:00
1749195173,750360784,43.5140404,16.2502981,2025-06-06T07:32:53.750361+00:00
1749195174,360641,43.5140404,16.2502980,2025-06-06T07:32:54.000361+00:00
1749195174,250360499,43.5140403,16.2502978,2025-06-06T07:32:54.250360+00:00
1749195174,500360357,43.5140403,16.2502977,2025-06-06T07:32:54.500360+00:00
1749195174,750360214,43.5140403,16.2502977,2025-06-06T07:32:54.750360+00:00
1749195175,360072,43.5140404,16.2502977,2025-06-06T07:32:55.000360+00:00
1749195175,250359929,43.5140404,16.2502976,2025-06-06T07:32:55.250360+00:00
1749195175,500359787,43.5140405,16.2502974,2025-06-06T07:32:55.500360+00:00
1749195175,750359645,43.5140404,16.2502973,2025-06-06T07:32:55.750360+00:00
1749195176,359502,43.5140404,16.2502972,2025-06-06T07:32:56.000360+00:00
1749195176,250359360,43.5140404,16.2502971,2025-06-06T07:32:56.250359+00:00
1749195176,500359218,43.5140405,16.2502970,2025-06-06T07:32:56.500359+00:00
1749195176,750359075,43.5140404,16.2502969,2025-06-06T07:32:56.750359+00:00
1749195177,358933,43.5140405,16.2502967,2025-06-06T07:32:57.000359+00:00
1749195177,250358791,43.5140405,16.2502966,2025-06-06T07:32:57.250359+00:00
1749195177,500358648,43.5140405,16.2502964,2025-06-06T07:32:57.500359+00:00
1749195177,750358506,43.5140404,16.2502963,2025-06-06T07:32:57.750359+00:00
1749195178,358364,43.5140404,16.2502961,2025-06-06T07:32:58.000358+00:00
1749195178,250358221,43.5140403,16.2502959,2025-06-06T07:32:58.250358+00:00
1749195178,500358079,43.5140402,16.2502958,2025-06-06T07:32:58.500358+00:00
1749195178,750357937,43.5140402,16.2502958,2025-06-06T07:32:58.750358+00:00
1749195179,357794,43.5140402,16.2502958,2025-06-06T07:32:59.000358+00:00
1749195179,250357652,43.5140401,16.2502957,2025-06-06T07:32:59.250358+00:00
1749195179,500357510,43.5140401,16.2502955,2025-06-06T07:32:59.500358+00:00
1749195179,750357367,43.5140401,16.2502955,2025-06-06T07:32:59.750357+00:00
1749195180,357225,43.5140400,16.2502955,2025-06-06T07:33:00.000357+00:00
1749195180,250357083,43.5140401,16.2502955,2025-06-06T07:33:00.250357+00:00
1749195180,500356940,43.5140401,16.2502956,2025-06-06T07:33:00.500357+00:00
1749195180,750356798,43.5140402,16.2502955,2025-06-06T07:33:00.750357+00:00
1749195181,356656,43.5140402,16.2502954,2025-06-06T07:33:01.000357+00:00
1749195181,250356514,43.5140402,16.2502952,2025-06-06T07:33:01.250356+00:00
1749195181,500356371,43.5140402,16.2502953,2025-06-06T07:33:01.500356+00:00
1749195181,750356229,43.5140402,16.2502952,2025-06-06T07:33:01.750356+00:00
1749195182,356087,43.5140403,16.2502954,2025-06-06T07:33:02.000356+00:00
1749195182,250355944,43.5140403,16.2502954,2025-06-06T07:33:02.250356+00:00
1749195182,500355802,43.5140403,16.2502954,2025-06-06T07:33:02.500356+00:00
1749195182,750355660,43.5140403,16.2502952,2025-06-06T07:33:02.750356+00:00
1749195183,355517,43.5140404,16.2502952,2025-06-06T07:33:03.000355+00:00
1749195183,250355375,43.5140404,16.2502952,2025-06-06T07:33:03.250355+00:00
1749195183,500355233,43.5140403,16.2502952,2025-06-06T07:33:03.500355+00:00
1749195183,750355090,43.5140404,16.2502952,2025-06-06T07:33:03.750355+00:00
1749195184,354948,43.5140405,16.2502951,2025-06-06T07:33:04.000355+00:00
1749195184,250354806,43.5140405,16.2502953,2025-06-06T07:33:04.250355+00:00
1749195184,500354663,43.5140405,16.2502952,2025-06-06T07:33:04.500355+00:00
1749195184,750354521,43.5140405,16.2502953,2025-06-06T07:33:04.750355+00:00
