mmsi,latitude,longitude,header_sec,header_nanosec,bag_name
203245328,43.412935,16.159771666666668,1749302867,562477321,blue_lagoon_imu
238066340,43.47002,16.220468333333333,1749302868,859168894,blue_lagoon_imu
238396340,43.51503666666667,16.231073333333335,1749302869,722316895,blue_lagoon_imu
203247262,43.412751666666665,16.166708333333332,1749302874,377020562,blue_lagoon_imu
538072144,43.38030666666667,16.186098333333334,1749302875,561348194,blue_lagoon_imu
238858440,43.46335,16.230831666666667,1749302876,57686325,blue_lagoon_imu
238322040,43.51459833333333,16.231676666666665,1749302876,648474170,blue_lagoon_imu
238107340,43.46073333333333,16.215946666666667,1749302876,888368844,blue_lagoon_imu
238066340,43.46979833333334,16.22085,1749302878,760827575,blue_lagoon_imu
238396340,43.515033333333335,16.231076666666667,1749302880,776230668,blue_lagoon_imu
232016168,43.407091666666666,16.137488333333334,1749302881,31534953,blue_lagoon_imu
238605740,43.472966666666665,16.202445,1749302883,292911296,blue_lagoon_imu
238134010,43.38849333333334,16.187933333333334,1749302886,139560980,blue_lagoon_imu
538072144,43.38090166666667,16.186193333333332,1749302886,619408010,blue_lagoon_imu
238066340,43.469593333333336,16.221191666666666,1749302887,419312352,blue_lagoon_imu
238201000,43.41465,16.418113333333334,1749302890,490583850,blue_lagoon_imu
238396340,43.51503,16.231076666666667,1749302890,698478724,blue_lagoon_imu
238850640,43.45182666666667,16.195778333333333,1749302891,482203357,blue_lagoon_imu
248000196,43.51251166666667,16.23872,1749302891,610154206,blue_lagoon_imu
238134010,43.38798666666667,16.18801,1749302895,209723181,blue_lagoon_imu
538072144,43.38143,16.186278333333334,1749302895,658015816,blue_lagoon_imu
203245328,43.412706666666665,16.160695,1749302896,58161125,blue_lagoon_imu
238066340,43.46940166666667,16.221536666666665,1749302897,193218526,blue_lagoon_imu
238396340,43.51503,16.231081666666668,1749302900,441004901,blue_lagoon_imu
232016168,43.40667833333333,16.13847833333333,1749302912,838163198,blue_lagoon_imu
238605740,43.47257,16.202205,1749302912,966199489,blue_lagoon_imu
538072144,43.38242,16.186438333333335,1749302915,269520824,blue_lagoon_imu
238134010,43.38699166666667,16.188201666666668,1749302915,606012946,blue_lagoon_imu
238322040,43.51459833333333,16.231673333333333,1749302917,29198039,blue_lagoon_imu
238066340,43.46892833333333,16.222335,1749302917,509266914,blue_lagoon_imu
238850640,43.45088666666667,16.195405,1749302918,469004870,blue_lagoon_imu
319051600,43.51007,16.245851666666667,1749302919,764795512,blue_lagoon_imu
238396340,43.51503,16.231081666666668,1749302920,36637103,blue_lagoon_imu
238613410,43.472698333333334,16.299633333333333,1749302925,76152263,blue_lagoon_imu
238134010,43.386496666666666,16.188291666666668,1749302925,203587137,blue_lagoon_imu
538072144,43.382931666666664,16.186525,1749302925,347707746,blue_lagoon_imu
238066340,43.46872666666667,16.222678333333334,1749302927,155612210,blue_lagoon_imu
261034450,43.46225333333334,16.236773333333332,1749302927,539056959,blue_lagoon_imu
238396340,43.515033333333335,16.231081666666668,1749302929,714704848,blue_lagoon_imu
203247262,43.41220833333333,16.169078333333335,1749302934,385803166,blue_lagoon_imu
238613410,43.47275166666667,16.300163333333334,1749302935,121610795,blue_lagoon_imu
538072144,43.38343,16.186615,1749302935,553673842,blue_lagoon_imu
238322040,43.51459833333333,16.231681666666667,1749302936,657992751,blue_lagoon_imu
238702640,43.51466,16.231608333333334,1749302937,537147829,blue_lagoon_imu
238066340,43.468455,16.223125,1749302938,752861775,blue_lagoon_imu
238396340,43.51503666666667,16.231078333333333,1749302940,784850396,blue_lagoon_imu
518998278,43.51453166666667,16.233778333333333,1749302941,72481807,blue_lagoon_imu
